GDX_Close,GDX_High,SF_Low,SF_Price,EG_low,EG_open,PLT_Price,PLT_High,Adj Close
51.66,52.720001,61061,61346,69.949997,71.199997,1655.35,1691.5,170.059998
51.639999,51.68,59858,59959,69.300003,69.550003,1642.6,1650.0,168.350006
52.669998,52.669998,59761,60031,71.150002,71.199997,1654.15,1654.35,169.419998
53.110001,53.400002,60060,60574,71.699997,72.5,1667.5,1672.6,169.53999299999995
51.52,52.73,60050,60732,70.949997,73.25,1647.35,1677.6,168.78999299999995
51.73,52.0,59623,59872,69.949997,70.449997,1621.75,1651.95,166.970001
52.43,52.48,59325,59614,70.949997,70.949997,1615.15,1629.55,167.580002
50.959999,51.48,58841,59186,70.5,70.800003,1581.8,1616.1,165.429993
50.060001,51.5,58860,59000,69.099998,71.25,1568.85,1585.95,164.860001
51.59,51.73,59151,59449,70.550003,70.650002,1571.85,1587.7,166.020004
51.240002,51.880001,58951,59643,69.400002,70.800003,1547.15,1579.55,165.929993
52.900002,52.970001,59455,59881,70.449997,71.5,1570.3,1579.75,166.830002
52.009998,52.540001,59660,59695,73.550003,73.900002,1570.15,1583.75,166.070007
49.759998,51.400002,57455,57651,71.300003,73.199997,1545.5,1571.8,162.600006
49.389999,50.25,57582,58574,70.099998,71.550003,1549.2,1552.7,163.229996
50.34,50.490002,58355,59910,70.449997,70.650002,1556.45,1564.1,166.300003
51.07,51.119999,58385,59252,71.150002,73.550003,1546.6,1569.8,166.490005
51.41,51.82,59213,59881,73.449997,74.25,1547.5,1549.3,167.990005
50.669998,51.619999,60000,60785,74.5,76.199997,1554.95,1572.55,167.820007
49.48,50.130001,60587,60804,71.5,72.25,1585.85,1594.7,167.100006
47.220001,49.450001,60680,61375,72.25,74.050003,1586.45,1602.2,167.139999
45.970001,47.189999,60335,60910,69.5,72.150002,1572.35,1586.85,166.089996
46.470001,46.77,60511,61002,69.099998,69.449997,1560.25,1572.5,165.880005
47.77,47.849998,60962,61597,71.949997,72.199997,1577.7,1584.45,167.869995
47.360001,47.73,61425,61536,73.199997,74.650002,1580.85,1585.7,167.389999
48.080002,48.139999,61510,62047,73.349998,73.5,1580.35,1584.6,167.559998
48.740002,49.0,62115,63526,75.699997,76.5,1622.6,1625.4,169.610001
48.75,48.75,63225,63734,76.050003,76.800003,1615.6,1618.35,169.429993
47.459999,48.48,63361,63536,74.699997,76.849998,1612.4,1622.85,168.71000700000005
47.900002,47.919998,61951,63110,72.5,73.050003,1612.3,1615.15,166.550003
48.040001,48.470001,62264,63052,71.650002,74.650002,1614.15,1625.7,167.179993
